,LIBNAME,new
251,MACON COUNTY - TUSKEGEE PUBLIC LIBRARY,-10.587482431357921
254,PRICHARD PUBLIC LIBRARY,-7.4517942884193
255,WASHINGTON COUNTY PUBLIC LIBRARY,-4.632029128073662
256,EVERGREEN PUBLIC LIBRARY,-9.477865787691382
257,MOBILE PUBLIC LIBRARY,-5.388849673535757
258,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY,-7.504150253462805
263,AUTAUGA - PRATTVILLE PUBLIC LIBRARY,-5.01983634436329
264,FAYETTE COUNTY MEMORIAL LIBRARY,-7.5710601633254
265,PHENIX CITY - RUSSELL COUNTY PUBLIC LIBRARY,-11.35192105090106
268,WILCOX COUNTY LIBRARY,-12.421574027468203
269,MONROE COUNTY PUBLIC LIBRARY,-7.903156202223881
270,CULLMAN COUNTY PUBLIC LIBRARY SYSTEM,-12.137786572936449
271,VALLEY - H. GRADY BRADSHAW / CHAMBERS COUNTY LIBRARY,-3.749975042398577
276,EUFAULA CARNEGIE LIBRARY,-6.2956786472280015
278,DALEVILLE PUBLIC LIBRARY,-5.576594175377326
283,ORANGE BEACH PUBLIC LIBRARY,-2.6351651457135157
284,SATSUMA PUBLIC LIBRARY,-7.231881307737502
295,SUMMERDALE - MARJORIE YOUNCE SNOOK PUBLIC LIBRARY,-2.555244165519788
305,GREEN POND - WOODSTOCK PUBLIC LIBRARY,-4.848789248070843
306,CENTRAL ARKANSAS LIBRARY SYSTEM,-5.426272270144948
307,WASHINGTON COUNTY LIBRARY SYSTEM,-4.510326679636068
308,MARION COUNTY LIBRARY,-9.581751453560335
309,SOUTHWEST ARKANSAS REGIONAL LIBRARY,-15.519330296019037
310,MID ARKANSAS REGIONAL LIBRARY SYSTEM,-9.116785512003798
311,GARLAND COUNTY LIBRARY,-3.9308672689146755
312,WHITE RIVER REGIONAL LIBRARY,-9.642380292290978
313,PINE BLUFF JEFFERSON COUNTY LIBRARY SYSTEM,-7.070435776641636
314,CROWLEY RIDGE REGIONAL LIBRARY,-6.14370685660599
315,COLUMBIA COUNTY LIBRARY,-8.853511779138737
316,FORT SMITH PUBLIC LIBRARY,-3.982964146411478
317,ARKANSAS RIVER VALLEY REGIONAL LIBRARY,-7.701733469464722
318,NORTHEAST ARKANSAS REGIONAL LIBRARY,-8.358665486057333
319,SOUTHEAST ARKANSAS REGIONAL LIBRARY,-10.815658045236555
320,PHILLIPS LEE MONROE REGIONAL LIBRARY SYSTEM,-16.767396551619957
321,WILLIAM F. LAMAN PUBLIC LIBRARY,-5.556180222177801
322,FAULKNER-VAN BUREN REGIONAL LIBRARY SYSTEM,-8.377482349505208
323,WHITE COUNTY REGIONAL LIBRARY SYSTEM,-8.039674597511258
324,BARTON LIBRARY,-11.294752208426118
325,POPE COUNTY LIBRARY SYSTEM,-6.891135589891638
326,SCOTT SEBASTIAN REGIONAL LIBRARY,-11.590103537439838
327,EAST CENTRAL ARKANSAS REGIONAL LIBRARY,-7.840465001105097
328,WEST MEMPHIS PUBLIC LIBRARY,-7.8830838472653015
329,ASHLEY COUNTY LIBRARY,-8.285034037483506
330,W.A. BILLINGSLEY/JACKSON COUNTY LIBRARY,-10.879811138713736
331,TEXARKANA PUBLIC LIBRARY,-7.166457955976968
332,CONWAY COUNTY LIBRARY,-8.793377768357178
333,LAWRENCE COUNTY LIBRARY,-7.39565662565287
334,FORREST CITY PUBLIC LIBRARY,-5.728769948288819
335,BENTONVILLE PUBLIC LIBRARY,-3.1458970098184857
336,BAXTER COUNTY LIBRARY,-6.876996412416266
337,MISSISSIPPI/CRITTENDEN REGIONAL LIBRARY,-8.583889683358215
339,ARKANSAS COUNTY LIBRARY,-8.124946955769254
340,TRUMANN PUBLIC LIBRARY,-17.579956412681366
341,BELLA VISTA PUBLIC LIBRARY,-5.691569109708971
342,SALINE COUNTY LIBRARY,-6.124724217747888
343,ROGERS PUBLIC LIBRARY,-4.952220042054248
344,CRAWFORD COUNTY LIBRARY SYSTEM,-6.721105499558838
346,BOONE COUNTY LIBRARY,-6.733260570675957
347,NEWTON COUNTY,-7.692306342276489
348,CLARK COUNTY LIBRARY,-10.337791561901478
349,LAFAYETTE COUNTY LIBRARY,-9.63129565605618
350,OUACHITA MOUNTAINS REGIONAL LIBRARY,-15.952948764470328
351,PUBLIC LIBRARY OF CAMDEN & OUACHITA COUNTY,-15.945732363746421
353,FAYETTEVILLE PUBLIC LIBRARY,-3.285607778095214
355,GRAVETTE PUBLIC LIBRARY,-6.470787768261853
356,JIM G. FERGUSON SEARCY COUNTY LIBRARY,-5.226405473998311
358,HEMPSTEAD COUNTY LIBRARY,-11.057658510539301
363,APACHE COUNTY LIBRARY DISTRICT OFFICE,-6.725097704965039
364,COCHISE COUNTY LIBRARY DISTRICT,-7.692843374906756
366,SAFFORD CITY - GRAHAM COUNTY LIBRARY,-5.53815126451475
367,PARKER PUBLIC LIBRARY,-1.835733377710321
368,MARICOPA COUNTY LIBRARY DISTRICT OFFICE,-4.554507399790257
369,AVONDALE PUBLIC LIBRARY,-7.292690020649856
370,BUCKEYE PUBLIC LIBRARY,-8.27114729991706
371,CHANDLER PUBLIC LIBRARY,-5.64920411171449
372,GLENDALE PUBLIC LIBRARY,-4.683936088658507
373,CITY OF MESA MAIN LIBRARY,-7.898820966693021
374,PHOENIX PUBLIC LIBRARY,-6.434638339655226
375,SCOTTSDALE PUBLIC LIBRARY,-3.4048038038715878
376,TEMPE PUBLIC LIBRARY,-5.1989154421464505
377,TOLLESON PUBLIC LIBRARY,-5.193181448451186
378,WICKENBURG PUBLIC LIBRARY,-2.4416147297876982
381,PINAL COUNTY LIBRARY DISTRICT,-7.7719396084454555
382,PIMA COUNTY PUBLIC LIBRARY,-4.92855477735255
383,NOGALES/SANTA CRUZ COUNTY PUBLIC LIBRARY,-8.483258357050689
385,YAVAPAI COUNTY LIBRARY DISTRICT,-6.705031505210496
388,DESERT FOOTHILLS LIBRARY,-1.1066945985725998
391,OFFICE OF NAVAJO NATION LIBRARY,-17.139369893672196
393,COLORADO RIVER INDIAN TRIBES LIBRARY/ARCHIVES,-6.567822502058467
394,QUARTZSITE PUBLIC LIBRARY,1.3784568007776419
396,NAVAJO COUNTY LIBRARY DISTRICT,-6.264532888526991
398,BENSON PUBLIC LIBRARY,-3.499922249726166
399,COPPER QUEEN LIBRARY,-3.7167564807726743
400,DOUGLAS PUBLIC LIBRARY,-5.317063791342662
401,HUACHUCA CITY PUBLIC LIBRARY,-1.5434176859947244
402,SIERRA VISTA PUBLIC LIBRARY,-6.207924278357148
404,ELSIE S. HOGAN COMMUNITY LIBRARY,-5.555102687724364
405,APACHE JUNCTION PUBLIC LIBRARY,-3.8360932151182467
406,CASA GRANDE PUBLIC LIBRARY,-5.020195129194727
410,GLOBE PUBLIC LIBRARY,-5.893513498525689
411,HAYDEN PUBLIC LIBRARY,-4.735368346250078
413,PAYSON PUBLIC LIBRARY,-3.5097612558535882
414,ISABELLE HUNT MEMORIAL PUBLIC LIBRARY,-3.350550198823246
418,COOLIDGE PUBLIC LIBRARY,-5.257516966487489
419,ELOY PUBLIC LIBRARY,-5.581509709592738
420,FLORENCE COMMUNITY LIBRARY,-4.821692819307629
423,MARICOPA PUBLIC LIBRARY,-7.321896608395454
424,SUPERIOR PUBLIC LIBRARY,-5.501416113011475
425,CAMP VERDE COMMUNITY LIBRARY,-5.413233651416739
426,CHINO VALLEY PUBLIC LIBRARY,-5.0079208210137685
428,COTTONWOOD PUBLIC LIBRARY,-3.6205860816645425
430,PRESCOTT VALLEY PUBLIC LIBRARY,-4.163855719316975
431,SEDONA PUBLIC LIBRARY,-2.757621178101128
432,PRESCOTT PUBLIC LIBRARY,-3.0501960266770656
433,HOLBROOK PUBLIC LIBRARY,-5.162786390752122
434,LARSON MEMORIAL PUBLIC LIBRARY,-4.786041294982636
435,SHOW LOW PUBLIC LIBRARY,-3.209871668385277
436,SNOWFLAKE-TAYLOR PUBLIC LIBRARY,-6.710507887051808
437,WINSLOW PUBLIC LIBRARY,-5.811463806949337
439,PAGE PUBLIC LIBRARY,6.060140239952018
441,FLAGSTAFF CITY-COCONINO COUNTY PUBLIC LIBRARY,-4.8960669590051795
442,BONITA LIBRARY,-4.906316002071314
450,DR. FERNANDO ESCALANTE COMMUNITY LIBRARY & RE,-6.825699399204952
452,HOPI PUBLIC LIBRARY,-3.9944331587319697
453,AK-CHIN INDIAN COMMUNITY,-1.5748683284382226
457,ALAMEDA COUNTY LIBRARY,-5.672398192634454
458,ALAMEDA FREE LIBRARY,-6.133851473898831
459,ALHAMBRA CIVIC CENTER LIBRARY,-6.395872336859269
460,ALPINE COUNTY LIBRARY/ARCHIVES,-5.267798421971895
462,AMADOR COUNTY LIBRARY,-8.154347256061069
463,ANAHEIM PUBLIC LIBRARY,-7.227755688103591
464,ARCADIA PUBLIC LIBRARY,-5.539300661322339
465,PLACER COUNTY LIBRARY,-6.809646859032048
466,AZUSA CITY LIBRARY,-7.849146139124901
467,BERKELEY PUBLIC LIBRARY,-5.348184620992542
468,BEVERLY HILLS PUBLIC LIBRARY,-5.328216795145609
469,BRAWLEY PUBLIC LIBRARY,-8.416459459002144
470,BUENA PARK LIBRARY DISTRICT,-6.49497627334617
471,BURBANK PUBLIC LIBRARY,-4.805982198420045
472,BURLINGAME PUBLIC LIBRARY,-4.865808109175659
473,BUTTE COUNTY LIBRARY,-8.789672131580359
474,CALAVERAS COUNTY LIBRARY,-11.24634214476283
475,CAMARENA MEMORIAL PUBLIC LIBRARY,-6.7537682204482365
476,CARLSBAD CITY LIBRARY,-5.015065650658969
477,HARRISON MEMORIAL LIBRARY,-4.910359417799265
478,CERRITOS PUBLIC LIBRARY,-4.161892321809155
479,CHULA VISTA PUBLIC LIBRARY,-7.367855703428527
480,COALINGA-HURON UNIFIED SCHOOL DISTRICT LIBR,-6.135545336678037
481,COLTON PUBLIC LIBRARY,-13.071228732896307
482,COLUSA COUNTY FREE LIBRARY,-8.040339262639344
483,CITY OF COMMERCE PUBLIC LIBRARY,-5.199586051663712
484,CONTRA COSTA COUNTY LIBRARY,-6.511215609476022
485,CORONA PUBLIC LIBRARY,-6.621293523830623
486,COVINA PUBLIC LIBRARY,-6.736399033044746
487,DALY CITY PUBLIC LIBRARY,-6.02028629144472
488,DEL NORTE COUNTY LIBRARY DISTRICT,-10.311584777364764
489,DIXON PUBLIC LIBRARY DISTRICT,-3.744923897449944
490,DOWNEY CITY LIBRARY,-7.666446308312169
491,EL CENTRO PUBLIC LIBRARY,-9.656648625596347
492,EL DORADO COUNTY LIBRARY,-7.944787871506703
493,EL SEGUNDO PUBLIC LIBRARY,-5.868168739410724
494,ESCONDIDO PUBLIC LIBRARY,-7.715057581375574
495,HUMBOLDT COUNTY LIBRARY,-7.879569678521418
496,FRESNO COUNTY PUBLIC LIBRARY,-6.882122983263533
497,FULLERTON PUBLIC LIBRARY,-6.396092905908486
498,GLENDALE PUBLIC LIBRARY,-5.67997433814067
499,GLENDORA LIBRARY & CULTURAL CENTER,-5.73807520271825
500,HAYWARD PUBLIC LIBRARY,-5.789774504375745
501,HEMET PUBLIC LIBRARY,-6.694151238668339
502,HUNTINGTON BEACH PUBLIC LIBRARY,-6.3482795500623785
503,IMPERIAL COUNTY LIBRARY,-10.926141354242375
504,IMPERIAL PUBLIC LIBRARY,-8.371842242161861
505,INGLEWOOD PUBLIC LIBRARY,-7.70591554103029
506,INYO COUNTY FREE LIBRARY,-8.218420634613514
507,KERN COUNTY LIBRARY,-10.36477572485342
508,KINGS COUNTY LIBRARY,-7.90182717787777
509,LAKE COUNTY LIBRARY,-6.818327653688152
510,LARKSPUR PUBLIC LIBRARY,-5.013861185768571
511,LINCOLN PUBLIC LIBRARY,-5.466702961355323
512,LIVERMORE PUBLIC LIBRARY,-5.061611901371216
513,LODI PUBLIC LIBRARY,-7.282962329506888
514,LOMPOC PUBLIC LIBRARY,-4.747444329676749
516,COUNTY OF LOS ANGELES PUBLIC LIBRARY,-7.266689146590636
517,LOS ANGELES PUBLIC LIBRARY,-5.391254065657957
518,MADERA COUNTY LIBRARY,-10.471183267572531
519,MARIN COUNTY FREE LIBRARY,-5.421363758370672
521,MENLO PARK PUBLIC LIBRARY,-4.359753052275448
522,MERCED COUNTY LIBRARY,-9.902224062377405
523,MILL VALLEY PUBLIC LIBRARY,-4.41348759353666
524,MODOC COUNTY LIBRARY,-7.789146938991487
526,MONROVIA PUBLIC LIBRARY,-7.203259696146579
527,MONTEREY COUNTY FREE LIBRARIES,-6.874937073348922
528,MONTEREY PUBLIC LIBRARY,-5.369622785683818
529,MONTEREY PARK BRUGGEMEYER LIBRARY,-5.6656162021616385
530,MOUNTAIN VIEW PUBLIC LIBRARY,-4.557614412609698
531,NAPA CITY-COUNTY LIBRARY,-5.236199252966605
532,NATIONAL CITY PUBLIC LIBRARY,-2.891420470324741
533,NEVADA COUNTY LIBRARY,-6.5375472172447795
534,NEWPORT BEACH PUBLIC LIBRARY,-4.699087872437959
535,OAKLAND PUBLIC LIBRARY,-7.146388214664642
536,OCEANSIDE PUBLIC LIBRARY,-7.3872377935032985
537,ONTARIO CITY LIBRARY,-6.638012795397093
538,ORANGE COUNTY PUBLIC LIBRARIES,-6.567948009129407
539,ORANGE PUBLIC LIBRARY,-6.738029569876375
540,ORLAND FREE LIBRARY,-6.362683026659608
541,OXNARD PUBLIC LIBRARY,-7.282775579228718
542,PACIFIC GROVE PUBLIC LIBRARY,-6.3963858554450965
543,PALMDALE CITY LIBRARY,-9.373124598608461
544,PALM SPRINGS PUBLIC LIBRARY,-4.609046062838495
545,PALO ALTO CITY LIBRARY,-4.408067118792711
546,PALOS VERDES LIBRARY DISTRICT,-5.4496317935574785
547,PALO VERDE VALLEY LIBRARY DISTRICT,-13.97184737344612
548,PASADENA PUBLIC LIBRARY,-5.874209401305982
549,PASO ROBLES PUBLIC LIBRARY,-5.676042241336432
550,PLACENTIA LIBRARY DISTRICT,-6.316203904971037
551,PLUMAS COUNTY LIBRARY,-8.260814443406332
552,POMONA PUBLIC LIBRARY,-9.677634820903766
553,PORTERVILLE PUBLIC LIBRARY,-5.577150842232694
554,REDONDO BEACH PUBLIC LIBRARY,-5.645130716508417
555,REDWOOD CITY PUBLIC LIBRARY,-2.6682552661372325
556,RICHMOND PUBLIC LIBRARY,-6.723782223734286
558,ROSEVILLE PUBLIC LIBRARY,-6.562898846287219
560,SALINAS PUBLIC LIBRARY,-6.699646577767146
561,SAN ANSELMO PUBLIC LIBRARY,-4.993684062874519
562,SAN BENITO COUNTY FREE LIBRARY,-9.099176161828034
564,SAN BERNARDINO PUBLIC LIBRARY,-9.006333551300427
565,SAN BRUNO PUBLIC LIBRARY,-5.509309872829617
566,SAN DIEGO COUNTY LIBRARY,-4.737336223586706
567,SAN DIEGO PUBLIC LIBRARY,-6.269466137247531
568,SAN FRANCISCO PUBLIC LIBRARY,-5.249109483434043
571,SAN LEANDRO PUBLIC LIBRARY,-4.761603541193709
572,SAN LUIS OBISPO CITY-COUNTY LIBRARY,-6.188810090467254
573,CROWELL PUBLIC LIBRARY,-4.826569151072626
574,SAN MATEO COUNTY LIBRARY,-4.313513862833769
575,SAN MATEO PUBLIC LIBRARY,-5.151834784301915
576,SAN RAFAEL PUBLIC LIBRARY,-5.57635993942718
