,FSCSKEY,LIBNAME_x,Usage,Usage difference,ATTEND-VISITS_Window1,VISIT difference,AUDIO_Window1,BRANLIB_Window1,LOANTO_Window1,TOTCIR_Window1,SALARIES_Window1,BKVOL_Window1,LOCGVT_Window1,BKMOB_Window1,OTHINCM_Window1,OTHPAID_Window1,LOANFM_Window1,REFERENC-REFERENCE_Window1,SUBSCRIP-SUBSCRIPT_Window1,TOTOPEXP-TOTOPEXP1_Window1,LIBRARIAN-LIBRARIA_Window1,TOTEXPCO-TOTEXPCOL_Window1,OBEREG_Window1,KIDCIRCL_Window1,STAFFEXP-TOTEXP_Window1,KIDATTEN-KIDATTEND_Window1,STGVT_Window1,TOTPEMP-TOTSTAFF_Window1,VIDEO_Window1,CENTLIB_Window1,BENEFIT_Window1,TOTINCM_Window1,MASTER_Window1,CAPITAL_Window1,DUPLI-HRS_OPEN_Window1,ELMATEXP_Window1,POPU-POPU_LSA_Window1,OTHOPEXP_Window1,Prediction
2738,KY0029,ELLIOTT COUNTY PUBLIC LIBRARY,1.7591712292935064,0.03501840490544669,13514.8,0.9688637641696511,947.0,0.0,0.0,7895.2,0.0,21808.6,0.0,0.0,2942.8,0.0,0.0,1563.4,9.6,30755.2,1.0,4970.4,5.0,1498.2,0.0,1431.4,12086.4,1.0,1199.6,1.0,0.0,15029.2,0.0,0.0,2230.8,467.0,7688.8,0.0,-12.981097178936048
2739,KY0030,ESTILL COUNTY PUBLIC LIBRARY,4.27356281049604,0.2925441119533358,61930.6,19.101042134259963,19857.4,0.0,0.4,117675.2,153807.0,34259.2,604027.4,1.0,20799.0,1.086,212.8,4169.4,83.0,455243.8,5.772,76991.6,5.0,36749.0,212470.0,6801.4,15717.8,6.858,6966.8,1.0,58663.0,647470.6,2.886,49221.0,3893.0,9507.0,14493.8,90023.6,-32.682881145722064
2740,KY0031,LEXINGTON PUBLIC LIBRARY,6.134325803893395,-0.23369231663794762,1889865.0,-0.9694253293224648,48954.8,5.0,2398.0,2942840.6,4921310.2,459342.0,13982756.8,0.0,1007825.2,132.5,3766.2,462567.6,955.0,12394334.2,45.1,1687685.2,5.0,990528.2,6573520.2,47583.6,230257.0,177.6,39447.6,1.0,1652210.0,15243009.0,45.1,2713188.8,20748.0,351088.0,308154.2,1983018.0,-761.1861107994245
2741,KY0032,FLEMING COUNTY PUBLIC LIBRARY,5.792642722297547,-0.8522644292551582,84263.6,-0.5573414855287455,19692.2,0.0,4.6,180239.4,142419.6,35235.4,486467.0,1.0,79835.4,1.866,596.0,723.0,186.8,425954.6,4.9399999999999995,50594.4,5.0,58779.8,189785.6,6502.2,95195.4,6.806,6875.0,1.0,47366.0,668413.0,0.0,16254.8,4284.8,14558.4,14552.4,113675.4,-32.08143608817978
2742,KY0033,FLOYD COUNTY LIBRARY,1.3451682559891556,2.2211333682432652,51687.4,2.670171066836405,18405.6,1.0,11.0,72996.8,294931.0,57668.4,1380852.2,1.0,260.6,1.8,36.6,15864.0,34.4,908858.6,8.6,159010.4,5.0,15133.4,428928.2,2310.0,24623.6,10.4,11051.4,1.0,133997.2,1405736.4,1.2,0.0,6676.6,42483.2,38549.6,168728.0,-59.505927691795726
2743,KY0034,FRANKLIN COUNTY LIBRARY DISTRICT,4.325815003590763,0.16716551276888145,215387.8,-0.8061180809683743,30778.0,0.0,1496.4,514991.2,1005059.2,126753.8,3017312.0,0.8,123868.4,2.434,689.4,34729.8,206.6,2733002.0,28.422000000000004,405013.2,5.0,140837.4,1381148.2,16182.8,29214.8,30.856,17560.8,1.0,376089.0,3170395.2,5.83,28129.6,3811.6,77903.0,49820.0,498507.8,-168.05550315639272
2744,KY0035,FULTON PUBLIC LIBRARY,5.985024686261875,-0.4079589570455741,38478.4,0.06628134225955344,5589.2,1.0,147.2,64388.2,104225.2,50675.4,245349.8,1.0,14367.4,1.754,149.0,1017.6,101.2,274034.6,4.276000000000001,35840.6,5.0,7488.2,131379.8,583.6,12151.4,6.029999999999999,4803.8,1.0,27154.6,276545.0,0.0,0.0,5610.8,1404.4,6433.6,60153.0,-21.197641524085377
2745,KY0037,GARRARD COUNTY PUBLIC LIBRARY,1.7435526931630094,1.5377821729098466,29591.2,1.3531455297520882,19306.0,0.0,0.0,64364.4,128665.2,31449.4,565163.8,1.0,17998.4,0.2,1249.8,1768.0,32.2,380779.0,6.470000000000001,42261.2,5.0,20135.2,175035.6,6200.0,23503.0,6.67,6868.8,1.0,46370.4,611783.0,2.2,272340.6,3676.0,7129.6,16961.6,103715.6,-26.429023081510312
2746,KY0038,GRANT COUNTY PUBLIC LIBRARY DISTRICT,4.480194280467649,-0.6226837568438669,110816.8,-0.4882129785375503,21597.4,0.0,274.2,145362.6,353068.8,38894.4,1052228.4,0.0,44198.4,8.256,468.0,2227.6,110.8,991877.2,8.392,130910.0,5.0,29927.6,505271.8,4282.6,88016.0,16.648,7735.6,1.0,152203.0,1198963.0,4.002000000000001,42189.0,3390.4,31686.0,24737.2,185322.2,-65.20901232403232
2747,KY0039,GRAVES COUNTY PUBLIC LIBRARY,5.153582459830606,-0.4929247417425641,193332.2,-0.7154690217149549,14753.6,0.0,171.6,137004.4,167969.8,61844.4,1099244.4,1.0,24158.6,2.8040000000000003,356.4,2853.0,131.4,554783.8,7.0840000000000005,78513.4,5.0,34407.2,248919.4,3307.4,35021.8,9.888,6931.8,1.0,80949.6,1160339.6,0.0,308796.4,4250.4,13641.6,37510.6,143244.0,-33.932377214556276
